domain,keyword_or_alias,source,weight
biology,biology,domain_name,1.0
biology,agricultural-biology-agtech,sub_domain,0.8
biology,ancient-dna-paleogenomics,sub_domain,0.8
biology,biodiversity-informatics,sub_domain,0.8
biology,bioinformatics-pipelines,sub_domain,0.8
biology,biomedical-imaging,sub_domain,0.8
biology,cheminformatics,sub_domain,0.8
biology,climate-biology,sub_domain,0.8
biology,clinical-genomics,sub_domain,0.8
biology,computational-neuroscience,sub_domain,0.8
biology,connectomics,sub_domain,0.8
biology,ecology-conservation,sub_domain,0.8
biology,epidemiology-disease-modeling,sub_domain,0.8
biology,epigenomics,sub_domain,0.8
biology,genomics,sub_domain,0.8
biology,immunoinformatics,sub_domain,0.8
biology,long-read-sequencing,sub_domain,0.8
biology,marine-biology,sub_domain,0.8
biology,metabolomics,sub_domain,0.8
biology,metagenomics,sub_domain,0.8
biology,phylogenetics,sub_domain,0.8
biology,protein-engineering-directed-evolution,sub_domain,0.8
biology,proteomics,sub_domain,0.8
biology,spatial-omics,sub_domain,0.8
biology,structural-biology,sub_domain,0.8
biology,synthetic-biology,sub_domain,0.8
biology,systems-biology,sub_domain,0.8
biology,transcriptomics,sub_domain,0.8
biology,acmg,tag,0.5
biology,agtech,tag,0.5
biology,ancient-dna,tag,0.5
biology,archaeogenomics,tag,0.5
biology,atac-seq,tag,0.5
biology,biodiversity,tag,0.5
biology,bioimage,tag,0.5
biology,bioinformatics-pipelines,tag,0.5
biology,biomedical-imaging,tag,0.5
biology,brian2,tag,0.5
biology,cheminformatics,tag,0.5
biology,chip-seq,tag,0.5
biology,climate-biology,tag,0.5
biology,clinical-genomics,tag,0.5
biology,computational-neuroscience,tag,0.5
biology,connectomics,tag,0.5
biology,conservation,tag,0.5
biology,contamination-detection,tag,0.5
biology,crop-genomics,tag,0.5
biology,cryo-em,tag,0.5
biology,differential-expression,tag,0.5
biology,directed-evolution,tag,0.5
biology,dna-assembly,tag,0.5
biology,dna-methylation,tag,0.5
biology,docking,tag,0.5
biology,drug-discovery,tag,0.5
biology,ecological-forecasting,tag,0.5
biology,ecology,tag,0.5
biology,em-imaging,tag,0.5
biology,enzyme-engineering,tag,0.5
biology,epidemiology,tag,0.5
biology,epigenomics,tag,0.5
biology,epitope-prediction,tag,0.5
biology,fisheries,tag,0.5
biology,gbif,tag,0.5
biology,genetic-circuits,tag,0.5
biology,genome-assembly,tag,0.5
biology,genomics,tag,0.5
biology,histopathology,tag,0.5
biology,hla,tag,0.5
biology,immunoinformatics,tag,0.5
biology,iso-seq,tag,0.5
biology,lc-ms,tag,0.5
biology,long-read,tag,0.5
biology,marine-biology,tag,0.5
biology,mass-spectrometry,tag,0.5
biology,maxent,tag,0.5
biology,metabolic-engineering,tag,0.5
biology,metabolite-annotation,tag,0.5
biology,metabolomics,tag,0.5
biology,metagenomics,tag,0.5
biology,microbiome,tag,0.5
biology,microscopy,tag,0.5
biology,molecular-dynamics,tag,0.5
biology,molecular-evolution,tag,0.5
biology,nanopore,tag,0.5
biology,neoantigen,tag,0.5
biology,nest,tag,0.5
biology,network-biology,tag,0.5
biology,neuron,tag,0.5
biology,neuronal-reconstruction,tag,0.5
biology,nextflow,tag,0.5
biology,occurrence-data,tag,0.5
biology,ocean-microbiome,tag,0.5
biology,outbreak-modeling,tag,0.5
biology,pacbio,tag,0.5
biology,paleogenomics,tag,0.5
biology,pathway-analysis,tag,0.5
biology,pathway-modeling,tag,0.5
biology,peptide-identification,tag,0.5
biology,phenology,tag,0.5
biology,phylodynamics,tag,0.5
biology,phylogenetics,tag,0.5
biology,phylogenomics,tag,0.5
biology,plankton,tag,0.5
biology,plant-phenotyping,tag,0.5
biology,precision-agriculture,tag,0.5
biology,protein-design,tag,0.5
biology,protein-engineering,tag,0.5
biology,protein-quantification,tag,0.5
biology,proteomics,tag,0.5
biology,qsar,tag,0.5
biology,reproducibility,tag,0.5
biology,rna-seq,tag,0.5
biology,sbml,tag,0.5
biology,sequence-analysis,tag,0.5
biology,shotgun-sequencing,tag,0.5
biology,single-cell,tag,0.5
biology,sir,tag,0.5
biology,slide-seq,tag,0.5
biology,smiles,tag,0.5
biology,snakemake,tag,0.5
biology,spatial-omics,tag,0.5
biology,spatial-transcriptomics,tag,0.5
biology,species-climate,tag,0.5
biology,species-distribution,tag,0.5
biology,structural-biology,tag,0.5
biology,synapse-segmentation,tag,0.5
biology,synthetic-biology,tag,0.5
biology,systems-biology,tag,0.5
biology,taxonomic-classification,tag,0.5
biology,taxonomy,tag,0.5
biology,transcriptomics,tag,0.5
biology,tree-inference,tag,0.5
biology,variant-calling,tag,0.5
biology,variant-interpretation,tag,0.5
biology,visium,tag,0.5
biology,agricultural biology / agtech — crop genomics and plant phenotyping,category,0.6
