repo_slug,capability_id,capability_label,domain
docker-open5gs-herlesupreeth,opensips-ims,Opensips Ims,telecoms
docker-open5gs-herlesupreeth,4g-core-mme,4G Core Mme,telecoms
docker-open5gs-herlesupreeth,end-to-end-4g-5g-lab,End To End 4G 5G Lab,telecoms
docker-open5gs-herlesupreeth,4g-core-pgw,4G Core Pgw,telecoms
docker-open5gs-herlesupreeth,gtp-tunneling,Gtp Tunneling,telecoms
docker-open5gs-herlesupreeth,sip-signaling,Sip Signaling,telecoms
docker-open5gs-herlesupreeth,ueransim-integration,Ueransim Integration,telecoms
docker-open5gs-herlesupreeth,web-dashboard,Web Dashboard,telecoms
docker-open5gs-herlesupreeth,srsran-integration,Srsran Integration,telecoms
docker-open5gs-herlesupreeth,volte-support,Volte Support,telecoms
docker-open5gs-herlesupreeth,docker-compose-orchestration,Docker Compose Orchestration,telecoms
docker-open5gs-herlesupreeth,vonr-support,Vonr Support,telecoms
docker-open5gs-herlesupreeth,s1ap-interface,S1Ap Interface,telecoms
docker-open5gs-herlesupreeth,multi-scenario-deployment,Multi Scenario Deployment,telecoms
docker-open5gs-herlesupreeth,pfcp-session-management,Pfcp Session Management,telecoms
docker-open5gs-herlesupreeth,subscriber-management,Subscriber Management,telecoms
docker-open5gs-herlesupreeth,ngap-interface,Ngap Interface,telecoms
docker-open5gs-herlesupreeth,config-mutation,Config Mutation,telecoms
docker-open5gs-herlesupreeth,5g-core-amf,5G Core Amf,telecoms
docker-open5gs-herlesupreeth,5g-core-smf,5G Core Smf,telecoms
docker-open5gs-herlesupreeth,kamailio-ims,Kamailio Ims,telecoms
docker-open5gs-herlesupreeth,sctp-transport,Sctp Transport,telecoms
docker-open5gs-herlesupreeth,ims-stack,Ims Stack,telecoms
docker-open5gs-herlesupreeth,5g-core-upf,5G Core Upf,telecoms
docker-open5gs-herlesupreeth,4g-core-sgw,4G Core Sgw,telecoms
docker-open5gs-herlesupreeth,diameter-signaling,Diameter Signaling,telecoms
docker-open5gs-herlesupreeth,zmq-rf-simulation,Zmq Rf Simulation,telecoms
akvorado,geo-enrichment,Geo Enrichment,telecoms
akvorado,ipfix-collection,Ipfix Collection,telecoms
akvorado,flow-data-enrichment,Flow Data Enrichment,telecoms
akvorado,web-dashboard,Web Dashboard,telecoms
akvorado,kafka-pipeline,Kafka Pipeline,telecoms
akvorado,flow-visualization,Flow Visualization,telecoms
akvorado,snmp-enrichment,Snmp Enrichment,telecoms
akvorado,clickhouse-export,Clickhouse Export,telecoms
akvorado,streaming-telemetry,Streaming Telemetry,telecoms
akvorado,netflow-collection,Netflow Collection,telecoms
akvorado,interface-name-resolution,Interface Name Resolution,telecoms
akvorado,sflow-collection,Sflow Collection,telecoms
akvorado,multi-protocol-flow-ingestion,Multi Protocol Flow Ingestion,telecoms
containerlab,rootless-container-support,Rootless Container Support,telecoms
containerlab,multi-vendor-topology,Multi Vendor Topology,telecoms
containerlab,link-impairment,Link Impairment,telecoms
containerlab,mpls-dataplane,Mpls Dataplane,telecoms
containerlab,containerized-nos,Containerized Nos,telecoms
containerlab,snmp-agent,Snmp Agent,telecoms
containerlab,packet-capture,Packet Capture,telecoms
containerlab,topology-as-code,Topology As Code,telecoms
containerlab,restconf-api,Restconf Api,telecoms
containerlab,infrastructure-as-code,Infrastructure As Code,telecoms
containerlab,network-lab-orchestration,Network Lab Orchestration,telecoms
containerlab,vrnetlab-vm-integration,Vrnetlab Vm Integration,telecoms
containerlab,gnmi-telemetry,Gnmi Telemetry,telecoms
containerlab,ansible-inventory-generation,Ansible Inventory Generation,telecoms
containerlab,sr-segment-routing,Sr Segment Routing,telecoms
containerlab,netconf-server,Netconf Server,telecoms
containerlab,vxlan-overlay,Vxlan Overlay,telecoms
containerlab,vscode-extension,Vscode Extension,telecoms
containerlab,nornir-inventory-generation,Nornir Inventory Generation,telecoms
containerlab,topology-mutation,Topology Mutation,telecoms
containerlab,config-mutation,Config Mutation,telecoms
containerlab,topology-graph-export,Topology Graph Export,telecoms
containerlab,isis-routing,Isis Routing,telecoms
containerlab,grpc-interface,Grpc Interface,telecoms
containerlab,ospf-routing,Ospf Routing,telecoms
containerlab,node-failure-simulation,Node Failure Simulation,telecoms
containerlab,cicd-network-testing,Cicd Network Testing,telecoms
containerlab,fault-injection,Fault Injection,telecoms
containerlab,bgp-routing,Bgp Routing,telecoms
containerlab,evpn-fabric,Evpn Fabric,telecoms
etsi-open-source-mano-osm,vnf-lifecycle-management,Vnf Lifecycle Management,telecoms
etsi-open-source-mano-osm,vnf-onboarding,Vnf Onboarding,telecoms
etsi-open-source-mano-osm,nbi-sol005-api,Nbi Sol005 Api,telecoms
etsi-open-source-mano-osm,web-dashboard,Web Dashboard,telecoms
etsi-open-source-mano-osm,config-mutation,Config Mutation,telecoms
etsi-open-source-mano-osm,resource-orchestrator,Resource Orchestrator,telecoms
etsi-open-source-mano-osm,policy-management,Policy Management,telecoms
etsi-open-source-mano-osm,vnf-monitoring,Vnf Monitoring,telecoms
etsi-open-source-mano-osm,cloud-native-orchestration,Cloud Native Orchestration,telecoms
etsi-open-source-mano-osm,network-service-orchestration,Network Service Orchestration,telecoms
etsi-open-source-mano-osm,nfv-mano-orchestration,Nfv Mano Orchestration,telecoms
